epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.6671,0.65539,0.66667,1,0.616,0.000547495,0.000547495,0.000547495
2,36.903,0.61319,0.92593,1,0.45257,0.00103035,0.00103035,0.00103035
3,54.9946,0.54183,0.81481,1,0.30874,0.00143986,0.00143986,0.00143986
4,73.0093,0.48867,0.88889,1,0.19932,0.00133693,0.00133693,0.00133693
5,91.3126,0.38759,1,1,0.09156,0.00122691,0.00122691,0.00122691
6,109.671,0.37061,1,1,0.09511,0.00111689,0.00111689,0.00111689
7,127.989,0.27257,1,1,0.04552,0.00100687,0.00100687,0.00100687
8,146.246,0.27579,1,1,0.0309,0.000896846,0.000896846,0.000896846
9,164.871,0.22833,1,1,0.04311,0.000786824,0.000786824,0.000786824
10,183.947,0.16137,1,1,0.02648,0.000676802,0.000676802,0.000676802
11,203.418,0.22638,1,1,0.049,0.00056678,0.00056678,0.00056678
12,222.754,0.17531,1,1,0.06688,0.000456758,0.000456758,0.000456758
13,242.313,0.17759,1,1,0.01702,0.000346736,0.000346736,0.000346736
14,261.869,0.1485,1,1,0.02107,0.000236714,0.000236714,0.000236714
15,281.406,0.14494,1,1,0.01416,0.000126692,0.000126692,0.000126692
