epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.5387,0.69187,0.5122,1,0.63347,0.000542114,0.000542114,0.000542114
2,45.8419,0.65965,0.70732,1,0.65347,0.00107061,0.00107061,0.00107061
3,68.5696,0.64336,0.63415,1,0.6584,0.0015716,0.0015716,0.0015716
4,91.0435,0.64664,0.87805,1,0.51036,0.00154323,0.00154323,0.00154323
5,113.908,0.59815,0.7561,1,0.41669,0.00150197,0.00150197,0.00150197
6,136.807,0.55293,0.90244,1,0.37124,0.00146071,0.00146071,0.00146071
7,159.383,0.51044,0.87805,1,0.3277,0.00141945,0.00141945,0.00141945
8,181.823,0.58647,0.73171,1,0.60565,0.00137819,0.00137819,0.00137819
9,204.502,0.45858,0.90244,1,0.33633,0.00133693,0.00133693,0.00133693
10,228.453,0.50933,0.90244,1,0.24415,0.00129568,0.00129568,0.00129568
11,252.383,0.51903,0.95122,1,0.18897,0.00125442,0.00125442,0.00125442
12,277.004,0.49622,0.95122,1,0.2177,0.00121316,0.00121316,0.00121316
13,301.005,0.50533,0.90244,1,0.63839,0.0011719,0.0011719,0.0011719
14,325.319,0.4222,0.90244,1,0.51878,0.00113064,0.00113064,0.00113064
15,349.116,0.5313,0.70732,1,0.89449,0.00108938,0.00108938,0.00108938
16,373.469,0.48446,0.80488,1,0.34491,0.00104813,0.00104813,0.00104813
17,397.545,0.42272,0.92683,1,0.17586,0.00100687,0.00100687,0.00100687
18,420.769,0.45715,0.85366,1,0.39853,0.00096561,0.00096561,0.00096561
19,443.913,0.42417,0.85366,1,0.24263,0.000924352,0.000924352,0.000924352
20,467.61,0.40297,0.97561,1,0.11884,0.000883093,0.000883093,0.000883093
21,490.255,0.40961,0.97561,1,0.12321,0.000841835,0.000841835,0.000841835
22,513.717,0.38575,0.95122,1,0.12646,0.000800577,0.000800577,0.000800577
23,537.009,0.30555,0.97561,1,0.0972,0.000759318,0.000759318,0.000759318
24,561.203,0.35905,0.97561,1,0.08399,0.00071806,0.00071806,0.00071806
25,584.84,0.29118,0.97561,1,0.08905,0.000676802,0.000676802,0.000676802
26,608.443,0.29721,0.95122,1,0.09284,0.000635544,0.000635544,0.000635544
27,631.882,0.26994,0.90244,1,0.40993,0.000594286,0.000594286,0.000594286
28,655.667,0.31423,0.92683,1,0.16166,0.000553027,0.000553027,0.000553027
29,678.916,0.26545,0.90244,1,0.14232,0.000511769,0.000511769,0.000511769
30,702.99,0.3847,0.95122,1,0.10091,0.000470511,0.000470511,0.000470511
31,726.817,0.28175,0.90244,1,0.40466,0.000429253,0.000429253,0.000429253
32,750.647,0.31645,0.90244,1,0.18498,0.000387994,0.000387994,0.000387994
33,775.185,0.2163,0.90244,1,0.12946,0.000346736,0.000346736,0.000346736
34,798.667,0.30497,0.95122,1,0.12272,0.000305478,0.000305478,0.000305478
35,822.345,0.24153,0.95122,1,0.33616,0.00026422,0.00026422,0.00026422
36,845.746,0.25625,0.95122,1,0.10604,0.000222961,0.000222961,0.000222961
37,869.82,0.28783,0.95122,1,0.14065,0.000181703,0.000181703,0.000181703
38,893.194,0.17726,0.95122,1,0.12966,0.000140445,0.000140445,0.000140445
39,917.111,0.21968,0.95122,1,0.1213,9.91865e-05,9.91865e-05,9.91865e-05
40,940.799,0.2467,0.95122,1,0.13016,5.79283e-05,5.79283e-05,5.79283e-05
