epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.9139,0.70702,0.41667,1,0.71289,0.00018337,0.00018337,0.00018337
2,60.4349,0.67397,0.5,1,0.7077,0.000364431,0.000364431,0.000364431
3,75.2857,0.64797,0.75,1,0.61336,0.000525688,0.000525688,0.000525688
4,88.5394,0.65071,0.75,1,0.5886,0.000667142,0.000667142,0.000667142
5,102.267,0.57123,0.58333,1,0.67245,0.000788791,0.000788791,0.000788791
6,116.093,0.54798,0.58333,1,0.80271,0.000890636,0.000890636,0.000890636
7,130.361,0.5258,0.66667,1,0.56965,0.000972678,0.000972678,0.000972678
8,144.929,0.54745,0.75,1,0.55231,0.00103492,0.00103492,0.00103492
