epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5994,2.03565,3.30838,2.11528,0.37577,0.42857,0.43311,0.22593,1.88481,2.71284,1.77668,0.00048343,0.00048343,0.00048343
2,138.507,1.7993,2.81836,1.85627,0.28366,0.42857,0.36714,0.14637,2.17921,2.8885,2.35328,0.000951074,0.000951074,0.000951074
3,209.714,1.89451,3.27429,1.74787,0.00456,0.64286,0.00439,0.00165,1.98232,3.93906,1.9914,0.00138571,0.00138571,0.00138571
4,288.958,1.88495,2.82147,1.71722,0.19442,0.82143,0.26273,0.0706,2.14757,9.67282,2.03093,0.00150197,0.00150197,0.00150197
5,368.627,1.86148,2.6018,1.80718,1,0.31996,0.39974,0.1445,1.77565,2.69173,1.79006,0.00144696,0.00144696,0.00144696
6,445.207,1.81376,2.61903,1.78966,0.38602,0.39286,0.4332,0.21901,2.21351,2.66458,2.21962,0.00139195,0.00139195,0.00139195
7,518.395,1.78628,2.2246,1.77773,0.19073,0.28571,0.2246,0.07352,2.05548,2.9541,2.23862,0.00133693,0.00133693,0.00133693
8,590.4,1.77095,1.955,1.78473,0.51021,0.60714,0.62679,0.25643,2.0231,1.96485,2.21951,0.00128192,0.00128192,0.00128192
9,662.53,1.67415,1.66172,1.6751,0.33256,0.71429,0.55957,0.20361,1.87469,1.82878,2.00452,0.00122691,0.00122691,0.00122691
10,737.09,1.71034,1.55467,1.66752,0.46505,0.42857,0.49008,0.27327,1.87862,2.08755,1.87237,0.0011719,0.0011719,0.0011719
11,809.818,1.71246,1.6315,1.67277,0.75171,0.67961,0.76602,0.35399,1.84701,1.62669,1.81867,0.00111689,0.00111689,0.00111689
12,881.244,1.64101,1.46272,1.66833,0.72401,0.92857,0.93738,0.45338,1.57604,1.2845,1.63683,0.00106188,0.00106188,0.00106188
13,955.246,1.58498,1.4381,1.5923,0.82969,0.92857,0.982,0.55753,1.4264,1.1803,1.52502,0.00100687,0.00100687,0.00100687
14,1035.49,1.57216,1.28734,1.56512,0.87489,0.92857,0.97137,0.54196,1.47892,1.2224,1.54833,0.000951857,0.000951857,0.000951857
15,1115.08,1.63546,1.32365,1.60401,0.71458,0.82143,0.89548,0.35109,1.97294,1.30866,1.86889,0.000896846,0.000896846,0.000896846
16,1192.99,1.51971,1.21375,1.50064,0.80817,0.89286,0.89729,0.48175,1.5831,1.07074,1.68355,0.000841835,0.000841835,0.000841835
17,1265.8,1.55742,1.25805,1.54438,0.78256,0.8715,0.92967,0.5286,1.60791,1.03882,1.70138,0.000786824,0.000786824,0.000786824
18,1338.04,1.5287,1.20295,1.49786,0.81316,0.92857,0.95255,0.55615,1.52782,1.02551,1.60172,0.000731813,0.000731813,0.000731813
19,1410.3,1.434,1.16177,1.47787,0.8203,0.84507,0.9315,0.5532,1.49559,1.01061,1.56568,0.000676802,0.000676802,0.000676802
20,1483.06,1.3863,1.11303,1.45518,0.88915,0.97277,0.99033,0.54714,1.44829,1.03693,1.54823,0.000621791,0.000621791,0.000621791
21,1557.06,1.33906,1.07097,1.46744,0.77081,0.89286,0.92669,0.46984,1.66013,1.21484,1.58644,0.00056678,0.00056678,0.00056678
22,1629.51,1.38758,1.01629,1.41934,0.81167,0.92857,0.93132,0.49047,1.54805,1.20259,1.49314,0.000511769,0.000511769,0.000511769
23,1701.94,1.34504,0.94543,1.4527,0.86895,0.95088,0.95493,0.48794,1.51146,1.10791,1.48008,0.000456758,0.000456758,0.000456758
