epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4532,1.51067,1.15377,1.53686,0.98366,0.99584,0.995,0.54975,1.55178,0.86546,1.70497,0.00048343,0.00048343,0.00048343
2,138.775,1.54536,1.18583,1.56934,0.76098,0.74714,0.71859,0.35842,2.01826,1.09166,1.95211,0.000861818,0.000861818,0.000861818
3,209.279,1.48733,1.2032,1.51216,0.88248,0.89286,0.9004,0.41419,1.80781,1.05418,1.76687,0.00111643,0.00111643,0.00111643
4,279.544,1.50992,1.19303,1.504,0.7829,0.96429,0.94809,0.45088,1.71623,1.07154,1.7022,0.00104813,0.00104813,0.00104813
5,354.936,1.55235,1.22459,1.565,0.91044,0.96429,0.95378,0.51933,1.436,0.99359,1.51953,0.000841835,0.000841835,0.000841835
6,431.523,1.47868,1.14282,1.46846,0.83076,0.88458,0.9192,0.51099,1.50016,1.02023,1.59751,0.000635544,0.000635544,0.000635544
7,508.698,1.42161,1.09091,1.45945,0.90531,1,0.995,0.53184,1.58481,0.9066,1.68355,0.000429253,0.000429253,0.000429253
8,580.33,1.3845,1.06006,1.46791,0.97116,1,0.995,0.59058,1.41608,0.82517,1.53716,0.000222961,0.000222961,0.000222961
