epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1041,0.34518,0.85417,1,0.32719,0.00023338,0.00023338,0.00023338
2,37.719,0.30169,0.83333,1,0.43802,0.00043557,0.00043557,0.00043557
3,55.3387,0.36211,0.875,1,0.34053,0.000588251,0.000588251,0.000588251
4,73.4148,0.35986,0.91667,1,0.18426,0.000691422,0.000691422,0.000691422
5,91.7486,0.28901,0.89583,1,0.17911,0.000745082,0.000745082,0.000745082
6,109.62,0.30209,0.91667,1,0.22382,0.000749233,0.000749233,0.000749233
7,127.426,0.28114,0.8125,1,0.53829,0.000676802,0.000676802,0.000676802
8,144.806,0.3083,0.79167,1,0.52429,0.000511769,0.000511769,0.000511769
9,161.941,0.30474,0.83333,1,0.37393,0.000346736,0.000346736,0.000346736
10,179.606,0.26518,0.85417,1,0.31231,0.000181703,0.000181703,0.000181703
