epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.9403,0.70652,0.625,1,0.6575,0.000546249,0.000546249,0.000546249
2,33.5342,0.68044,0.58333,1,0.64262,0.00107464,0.00107464,0.00107464
3,50.1898,0.6697,0.75,1,0.60296,0.00157553,0.00157553,0.00157553
4,66.7852,0.65125,0.75,1,0.56516,0.00154323,0.00154323,0.00154323
5,84.3157,0.63078,0.625,1,0.58583,0.00150197,0.00150197,0.00150197
6,101.836,0.66083,0.625,1,0.63983,0.00146071,0.00146071,0.00146071
7,119.516,0.6148,0.72917,1,0.57359,0.00141945,0.00141945,0.00141945
8,136.966,0.57706,0.66667,1,0.74862,0.00137819,0.00137819,0.00137819
9,154.739,0.56668,0.6875,1,0.58931,0.00133693,0.00133693,0.00133693
10,172.319,0.56915,0.77083,1,0.43086,0.00129568,0.00129568,0.00129568
11,189.949,0.55578,0.77083,1,0.51957,0.00125442,0.00125442,0.00125442
12,207.614,0.47636,0.79167,1,0.43225,0.00121316,0.00121316,0.00121316
13,225.109,0.58036,0.79167,1,0.534,0.0011719,0.0011719,0.0011719
14,243.963,0.43301,0.8125,1,0.41391,0.00113064,0.00113064,0.00113064
15,265.241,0.45223,0.79167,1,0.43318,0.00108938,0.00108938,0.00108938
16,288.272,0.44619,0.77083,1,0.63915,0.00104813,0.00104813,0.00104813
17,310.574,0.43809,0.85417,1,0.32594,0.00100687,0.00100687,0.00100687
18,332.817,0.47189,0.83333,1,0.33742,0.00096561,0.00096561,0.00096561
19,353.652,0.42921,0.85417,1,0.28011,0.000924352,0.000924352,0.000924352
20,373.658,0.33476,0.9375,1,0.16437,0.000883093,0.000883093,0.000883093
21,393.699,0.42939,0.95833,1,0.16231,0.000841835,0.000841835,0.000841835
22,413.876,0.3338,0.875,1,0.2336,0.000800577,0.000800577,0.000800577
23,433.656,0.33249,0.89583,1,0.20067,0.000759318,0.000759318,0.000759318
24,453.13,0.33597,0.875,1,0.23094,0.00071806,0.00071806,0.00071806
25,472.559,0.3466,0.89583,1,0.20001,0.000676802,0.000676802,0.000676802
26,491.998,0.33345,0.95833,1,0.1603,0.000635544,0.000635544,0.000635544
27,511.504,0.29957,0.9375,1,0.17654,0.000594286,0.000594286,0.000594286
28,530.923,0.23844,0.9375,1,0.21374,0.000553027,0.000553027,0.000553027
29,550.493,0.28591,0.95833,1,0.13244,0.000511769,0.000511769,0.000511769
30,570.215,0.25672,0.97917,1,0.11968,0.000470511,0.000470511,0.000470511
31,589.976,0.22381,0.95833,1,0.17514,0.000429253,0.000429253,0.000429253
32,609.955,0.30912,0.9375,1,0.16971,0.000387994,0.000387994,0.000387994
33,629.624,0.34205,0.91667,1,0.19285,0.000346736,0.000346736,0.000346736
34,649.449,0.29759,0.89583,1,0.21531,0.000305478,0.000305478,0.000305478
35,669.68,0.25807,0.97917,1,0.14517,0.00026422,0.00026422,0.00026422
36,689.863,0.26806,0.95833,1,0.15421,0.000222961,0.000222961,0.000222961
37,710.2,0.21481,0.9375,1,0.17693,0.000181703,0.000181703,0.000181703
38,730.045,0.22018,0.91667,1,0.18039,0.000140445,0.000140445,0.000140445
39,749.89,0.20968,0.89583,1,0.19803,9.91865e-05,9.91865e-05,9.91865e-05
40,770.125,0.25864,0.89583,1,0.18257,5.79283e-05,5.79283e-05,5.79283e-05
