epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.6281,0.65539,0.66667,1,0.616,0.000547495,0.000547495,0.000547495
2,37.476,0.61366,0.92593,1,0.45193,0.00105948,0.00105948,0.00105948
3,55.8715,0.53836,0.88889,1,0.28813,0.00152745,0.00152745,0.00152745
4,74.1259,0.48438,0.92593,1,0.16456,0.00146896,0.00146896,0.00146896
5,95.6096,0.37695,1,1,0.07876,0.00140295,0.00140295,0.00140295
6,115.816,0.36764,1,1,0.06436,0.00133693,0.00133693,0.00133693
7,134.502,0.27945,1,1,0.05631,0.00127092,0.00127092,0.00127092
8,153.264,0.23786,1,1,0.10711,0.00120491,0.00120491,0.00120491
9,172.261,0.17246,1,1,0.06315,0.00113889,0.00113889,0.00113889
10,190.988,0.16176,1,1,0.0178,0.00107288,0.00107288,0.00107288
11,210.672,0.13978,0.96296,1,0.14257,0.00100687,0.00100687,0.00100687
12,231.029,0.22287,1,1,0.07329,0.000940855,0.000940855,0.000940855
13,250.873,0.13751,1,1,0.02212,0.000874842,0.000874842,0.000874842
14,271.393,0.15829,1,1,0.01079,0.000808828,0.000808828,0.000808828
15,293.356,0.10274,1,1,0.00977,0.000742815,0.000742815,0.000742815
16,314.396,0.17427,0.96296,1,0.09122,0.000676802,0.000676802,0.000676802
17,333.784,0.17152,1,1,0.0197,0.000610789,0.000610789,0.000610789
18,353.337,0.10119,1,1,0.01167,0.000544776,0.000544776,0.000544776
19,372.752,0.16984,1,1,0.00987,0.000478762,0.000478762,0.000478762
20,392.179,0.11571,1,1,0.01312,0.000412749,0.000412749,0.000412749
21,411.497,0.10988,1,1,0.10669,0.000346736,0.000346736,0.000346736
22,430.71,0.17397,0.96296,1,0.09785,0.000280723,0.000280723,0.000280723
23,449.679,0.1073,1,1,0.06887,0.00021471,0.00021471,0.00021471
24,469.056,0.13115,1,1,0.04379,0.000148696,0.000148696,0.000148696
25,488.022,0.1178,1,1,0.12868,8.26832e-05,8.26832e-05,8.26832e-05
