epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1727,0.70551,0.45833,1,0.70525,0.00023338,0.00023338,0.00023338
2,37.2485,0.67555,0.5,1,0.69369,0.0004595,0.0004595,0.0004595
3,55.1219,0.65496,0.70833,1,0.62646,0.000660865,0.000660865,0.000660865
4,72.988,0.6316,0.58333,1,0.64176,0.000837476,0.000837476,0.000837476
5,90.9987,0.5473,0.6875,1,0.59998,0.000989331,0.000989331,0.000989331
6,108.918,0.61211,0.72917,1,0.41058,0.00111643,0.00111643,0.00111643
7,126.767,0.49368,0.75,1,0.40896,0.0011719,0.0011719,0.0011719
8,144.835,0.52065,0.875,1,0.30282,0.00108938,0.00108938,0.00108938
9,162.75,0.44189,0.83333,1,0.3733,0.00100687,0.00100687,0.00100687
10,180.901,0.3952,0.85417,1,0.33582,0.000924352,0.000924352,0.000924352
11,200.552,0.39918,0.91667,1,0.23974,0.000841835,0.000841835,0.000841835
12,219.833,0.40625,0.91667,1,0.252,0.000759318,0.000759318,0.000759318
13,240.836,0.38332,0.85417,1,0.29772,0.000676802,0.000676802,0.000676802
14,264.241,0.32478,0.8125,1,0.35328,0.000594286,0.000594286,0.000594286
15,287.478,0.31367,0.83333,1,0.44226,0.000511769,0.000511769,0.000511769
16,310.945,0.29328,0.83333,1,0.49791,0.000429253,0.000429253,0.000429253
17,334.029,0.32044,0.875,1,0.33676,0.000346736,0.000346736,0.000346736
18,356.972,0.33547,0.89583,1,0.28793,0.00026422,0.00026422,0.00026422
19,379.581,0.32337,0.89583,1,0.27168,0.000181703,0.000181703,0.000181703
20,401.092,0.33092,0.85417,1,0.37465,9.91865e-05,9.91865e-05,9.91865e-05
