epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.2798,0.71092,0.58065,1,0.64445,0.000548158,0.000548158,0.000548158
2,40.6124,0.64783,0.74194,1,0.57704,0.00104919,0.00104919,0.00104919
3,60.7061,0.57054,0.6129,1,0.68291,0.0014952,0.0014952,0.0014952
4,80.6465,0.49974,0.77419,1,0.54249,0.00141945,0.00141945,0.00141945
5,100.683,0.49805,0.87097,1,0.30371,0.00133693,0.00133693,0.00133693
6,120.781,0.48804,0.83871,1,0.40501,0.00125442,0.00125442,0.00125442
7,140.827,0.37461,0.93548,1,0.27248,0.0011719,0.0011719,0.0011719
8,161.067,0.34442,0.90323,1,0.24348,0.00108938,0.00108938,0.00108938
9,182.058,0.34404,0.93548,1,0.31204,0.00100687,0.00100687,0.00100687
10,203.465,0.29677,0.90323,1,0.24378,0.000924352,0.000924352,0.000924352
11,224.703,0.30013,0.90323,1,0.22859,0.000841835,0.000841835,0.000841835
12,245.967,0.27748,0.93548,1,0.23262,0.000759318,0.000759318,0.000759318
13,267.326,0.25561,0.90323,1,0.17522,0.000676802,0.000676802,0.000676802
14,288.864,0.27922,0.93548,1,0.15594,0.000594286,0.000594286,0.000594286
15,310.261,0.22804,0.93548,1,0.17012,0.000511769,0.000511769,0.000511769
16,331.679,0.25733,0.93548,1,0.19164,0.000429253,0.000429253,0.000429253
17,352.924,0.24888,0.93548,1,0.17528,0.000346736,0.000346736,0.000346736
18,374.024,0.22363,0.93548,1,0.17259,0.00026422,0.00026422,0.00026422
19,395.208,0.20113,0.96774,1,0.17703,0.000181703,0.000181703,0.000181703
20,416.467,0.22153,0.96774,1,0.16856,9.91865e-05,9.91865e-05,9.91865e-05
